Dia;Valor;Tipo;Desc;Pagamento;Origem;;
terça-feira, 1 de julho de 2025;-R$ 45,80;Almoço;Herbalife;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 89,03;Comida;Mercado;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 25,00;Limpeza;Mercado;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 12,99;Água;Água;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 22,57;Comida;Mercado;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 42,82;Remédio;Farmácia;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 3,61;Imposto;Imposto;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 0,25;Imposto;Imposto;Débito;Mãe;;
terça-feira, 1 de julho de 2025;-R$ 25,98;Almoço;IFood;Crédito;Filho;;
quarta-feira, 2 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
quinta-feira, 3 de julho de 2025;-R$ 5,95;Assinatura;IFood;Crédito;Filho;;
quinta-feira, 3 de julho de 2025;-R$ 82,19;Comida;Mercado;Crédito;Filho;;
quinta-feira, 3 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
quinta-feira, 3 de julho de 2025;-R$ 43,99;Gato;Areia;Crédito;Mãe;;
quinta-feira, 3 de julho de 2025;-R$ 45,80;Almoço;Herbalife;Crédito;Mãe;;
sexta-feira, 4 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
sexta-feira, 4 de julho de 2025;-R$ 330,43;Outros;Gabriela;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 45,90;Almoço;Herbalife;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
sábado, 5 de julho de 2025;-R$ 75,34;Comida;Mercado;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 44,79;Limpeza;Mercado;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 421,78;Cartão;Renner;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 223,32;Imposto;Luz;Débito;Mãe;;
sábado, 5 de julho de 2025;-R$ 29,65;Imposto;Água;Débito;Mãe;;
domingo, 6 de julho de 2025;-R$ 34,50;Comida;Mercado;Crédito;Filho;;
domingo, 6 de julho de 2025;-R$ 62,87;Almoço;IFood;Crédito;Filho;;
domingo, 6 de julho de 2025;-R$ 21,91;Comida;IFood;Crédito;Filho;;
segunda-feira, 7 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
segunda-feira, 7 de julho de 2025;-R$ 5,98;Limpeza;Mercado;Débito;Mãe;;
segunda-feira, 7 de julho de 2025;-R$ 29,51;Comida;Mercado;Débito;Mãe;;
terça-feira, 8 de julho de 2025;-R$ 28,73;Comida;Mercado;Crédito;Filho;;
terça-feira, 8 de julho de 2025;-R$ 23,48;Almoço;IFood;Crédito;Filho;;
terça-feira, 8 de julho de 2025;-R$ 30,97;Comida;Padaria;Débito;Mãe;;
quarta-feira, 9 de julho de 2025;-R$ 21,73;Almoço;IFood;Crédito;Filho;;
quarta-feira, 9 de julho de 2025;-R$ 52,43;Limpeza;Mercado;Débito;Mãe;;
quarta-feira, 9 de julho de 2025;-R$ 112,85;Comida;Mercado;Débito;Mãe;;
quinta-feira, 10 de julho de 2025;-R$ 165,28;Comida;Mercado;Débito;Mãe;;
quinta-feira, 10 de julho de 2025;-R$ 25,98;Água;Água;Débito;Mãe;;
quinta-feira, 10 de julho de 2025;-R$ 43,93;Comida;Mercado;Crédito;Filho;;
quinta-feira, 10 de julho de 2025;-R$ 19,90;Remédio;Farmácia;Crédito;Filho;;
quinta-feira, 10 de julho de 2025;-R$ 30,98;Almoço;IFood;Crédito;Filho;;
quinta-feira, 10 de julho de 2025;-R$ 45,80;Almoço;Herbalife;Débito;Mãe;;
quinta-feira, 10 de julho de 2025;-R$ 14,68;Comida;Mercado;Débito;Mãe;;
quinta-feira, 10 de julho de 2025;-R$ 7,14;Imposto;Imposto;Débito;Mãe;;
sexta-feira, 11 de julho de 2025;-R$ 7,98;Imposto;IFood;Crédito;Filho;;
sexta-feira, 11 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
sexta-feira, 11 de julho de 2025;-R$ 60,00;Outros;Gabriela;Débito;Mãe;;
sexta-feira, 11 de julho de 2025;-R$ 107,74;Comida;Mercado;Débito;Mãe;;
sexta-feira, 11 de julho de 2025;-R$ 7,98;Imposto;IFood;Crédito;Filho;;
sábado, 12 de julho de 2025;-R$ 45,80;Almoço;Herbalife;Débito;Mãe;;
sábado, 12 de julho de 2025;-R$ 9,10;Remédio;Farmácia;Débito;Mãe;;
sábado, 12 de julho de 2025;-R$ 28,98;Almoço;IFood;Crédito;Filho;;
domingo, 13 de julho de 2025;-R$ 14,99;Assinatura;Crunchyroll;Crédito;Filho;;
domingo, 13 de julho de 2025;-R$ 54,89;Comida;IFood;Crédito;Filho;;
segunda-feira, 14 de julho de 2025;-R$ 46,88;Limpeza;Mercado;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 68,52;Comida;Mercado;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 82,92;Remédio;Farmácia;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 5,00;Outros;Gabriela;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 23,00;Almoço;IFood;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 45,80;Almoço;Herbalife;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 16,17;Remédio;Farmácia;Débito;Mãe;;
segunda-feira, 14 de julho de 2025;-R$ 31,53;Comida;Mercado;Crédito;Filho;;
segunda-feira, 14 de julho de 2025;-R$ 51,45;Remédio;Farmácia;Crédito;Filho;;
terça-feira, 15 de julho de 2025;-R$ 25,73;Almoço;IFood;Crédito;Filho;;
terça-feira, 15 de julho de 2025;-R$ 2.100,00;Aluguel;Casa;Débito;Mãe;;
quarta-feira, 16 de julho de 2025;-R$ 25,73;Almoço;Ifood;Crédito;Filho;;
quarta-feira, 16 de julho de 2025;-R$ 76,94;Gato;Maravilhas do Lar;Débito;Mãe;;
quarta-feira, 16 de julho de 2025;-R$ 115,89;Comida;Mercado;Débito;Mãe;;
quarta-feira, 16 de julho de 2025;-R$ 80,00;Abastecimento;Carro;Débito;Mãe;;
quarta-feira, 16 de julho de 2025;-R$ 27,99;Manutenção;Carro;Débito;Mãe;;
quarta-feira, 16 de julho de 2025;-R$ 22,00;Outros;Festa Junina;Débito;Mãe;;
quinta-feira, 17 de julho de 2025;-R$ 7,98;Imposto;IFood;Crédito;Filho;;
quinta-feira, 17 de julho de 2025;-R$ 19,67;Almoço;IFood;Crédito;Filho;;
quinta-feira, 17 de julho de 2025;-R$ 13,00;Comida;Sorveteria;Crédito;Filho;;
sexta-feira, 18 de julho de 2025;-R$ 19,67;Almoço;Ifood;Crédito;Filho;;
